qid,question,context_id,candidate_context,label,department,source_type,embedding_score,question_department
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000002,标题：我父亲脑血管瘤手术后经常出现发烧头痛咋办 患者问题：我爸爸做完了脑血管瘤已经好几天了，可是现在他说他经常出像发烧，头痛的状况。我父亲脑血管瘤手术后经常出现发烧头痛如何是好？谢谢医生。 医生回答：脑血管瘤的手术确实很困难。如果手术后发烧，首先需要排除颅内感染。如有必要，有必要保留脑积液用于进一步分析。腰部磨损。同时，有必要对血液常规进行检查以确定患者发烧的原因，以便进一步治疗，如果有颅内感染，有必要进行抗感染治疗，希望对您有所帮助。,0,oncology,hard_negative,0.7198693696480468,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000003,标题：红斑狼疮患者如何治疗？ 患者问题：我表哥的孩子患有红斑狼疮，并且病情十分的严重，同时他身上还有鲜红色的斑痣出现，看上去十分的明显。虽然家里一直给他治疗，但是效果一直都不是特别的好，想找专家咨询一下，红斑狼疮患者应如何治疗鲜红斑痣？能否痊愈？ 医生回答：系统性红斑狼疮会引起这种鲜红色的斑痣，一般是在脸上的位置身上还是相对比较少见的，目前首先就是排除一下脸上的蝶形红斑，然后就是狼疮肾炎，基本上出现系统性红斑狼疮就是自身免疫性的功能损伤，需要糖皮质激素来控制，改善免疫系统有一定的恢复效果。不能治疗。,0,oncology,hard_negative,0.7629163413855559,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000004,标题：多西他赛化疗的副作用有哪些如何缓解 患者问题：得了癌症之后，就一直在化疗，但化疗有很大的副作用，就像最近在做的多西他赛化疗，就会一直掉头发，还经常呕吐，所以想问一下多西他赛化疗的副作用会持续多久？ 医生回答：多西他赛化疗副作用很多。在治疗过程中要多补硒元素辅助治疗。硒是天然抗癌的。可以吃硒维康口嚼片来补硒。硒能减少化疗药物的毒性。研究显示，在化疗前后服用较大剂量硒，可以减少白细胞降低，恶心、呕吐、食欲减退等副作用。但有些硒补多了会过量的，像硒维康口的是麦芽硒，硒在体内过到饱和点之后就不吸收了。,0,oncology,hard_negative,0.6308079926189094,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000005,标题：肝血管瘤危害大吗？好治吗？ 患者问题：医生，你好，我现在准备50岁，活了半辈子，准备好好的享受后半辈子却让我得知我患了肝血管瘤，我也不知道自己怎么就得了肝血管瘤了，一直都好好的，健康的作息习惯，肝血管瘤危害大吗？好治吗？ 医生回答：肝血管瘤主要是由先天性引起的，考虑遗传因素，是良性病变，不用太担心。如果血管瘤小于五厘米，则通常无效，无需特殊治疗，定期复查，通常为6-12个月。如果肝血管瘤较大，则主要危险是破裂，应采用手术治疗。注意平时饮食，不要吃辛辣等油腻性食物，可以清淡饮食，并适当活动，增强自身免疫能力。,0,oncology,hard_negative,0.7613065833865644,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000001,标题：我有胃癌要怎么治疗的 患者问题：我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的 医生回答：胃癌可以说很严重是胃的最常见的恶性肿瘤，一旦诊断需要有尽早的手术治疗和手术后的放射治疗和化疗，才有控制疾病的可能，可以说以上的情况很严重，一旦诊断需要有尽早的手术治疗和手术后的化疗才能控制病情。其实无论什么什么病都好，具有好的心情和强健的体魄比任何治疗都好，建议生活上要多锻炼身体，随时始终保持浅笑，对生活充满希望。,1,oncology,positive,0.910738868025028,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000006,标题：孩子出现扁桃体炎嗓子疼如何合理饮食 患者问题：女宝宝，才2个月，刚开始，说自己嗓子疼，察觉到，咳嗽比较剧烈，另外，伴有低烧，请问：孩子出现扁桃体炎嗓子疼如何合理饮食。 医生回答：发现扁桃体炎务必要及时给孩子治疗，另外日常饮食可以多吃一些蔬菜和水果，蔬菜和水果中的营养元素含量比较丰富，可以帮助提高孩子的免疫力，因此有助于扁桃体的修复，水果的话建议选择梨、苹果等，蔬菜的话像青菜、白菜、西红柿等都是不错的，可以根据孩子的喜好选择，饮食上的选择上最好是比较容易消化的，比如像粥面都是不错的，同时还要注意尽量不要让孩子吃发物，比如像牛羊肉、狗肉以及海鲜等，都是可能加剧症状的，在正确饮食的同时还要注意不要挑食偏食，以免缺少营养抵抗力低下，再次复发。,0,pediatrics,random_negative,0.6394088148052662,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000007,标题：孩子中耳炎听不清说话该怎么样治疗才好 患者问题：我家的孩子是男宝宝，7岁，这几天，孩子说自己耳朵又痒又疼，察觉到，耳屎很多很黄，另外，食欲也不好，嗓子也不舒服，请问：孩子中耳炎听不清说话该怎么样治疗才好。 医生回答：医治小儿中耳炎首先家长可以给孩子吃点消炎类的药物，另外还可进行局部治疗，比如给孩子使用消炎类型的滴耳剂治疗，症状如果是以耳痛为主的，可考虑给点镇痛类的药物，要是孩子伴随发烧特别厉害的话那么就应该适量的使用一些退烧药，要是严重，那么就需要尽早就医了，孩子如果出现耳膜穿孔建议尽快去医院进行手术医治，平时注意饮食清淡，治疗期间以流食为主。,0,pediatrics,random_negative,0.7381092533722426,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000008,标题：孩子扁桃体发炎了不舒服饮食要注意什么 患者问题：男孩子，已经9岁了，刚开始，嗓子眼有点痛，发现，咳嗽比较剧烈，而且，好像低烧一直都没退，请问：孩子扁桃体发炎了不舒服饮食要注意什么。 医生回答：孩子如果患了扁桃体炎，除了抓紧治疗之外，饮食也应该有所重视，首先可以多吃一些比较新鲜的水果和蔬菜，而且蔬菜和水果中富含大量的维生素，有助于提高免疫，水果我们一般建议选择一些性平的，同时富含维生素的，比如像金橘、猕猴桃之类的，也建议选择一些比较好消化的食物，熬点粥或是把面条煮烂一些都是很适合孩子治疗期间吃的，与此同时家长还要注意不要让孩子吃一些刺激辛辣的食物以及服务，最后，还应该帮助孩子养成好的饮食喜欢，不要偏食和挑食，这样才能营养全面，减少扁桃体炎的发病率。,0,pediatrics,random_negative,0.7201939968220646,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000009,标题：孩子出现扁桃体炎嗓子疼饮食注意点是什么 患者问题：男孩，9岁，上小学了，刚开始，说自己嗓子疼，发现，说话的时候声音有点沙哑，另外，有点发烧也没精神，请问：孩子出现扁桃体炎嗓子疼饮食注意点是什么。 医生回答：想要孩子扁桃体炎尽快恢复饮食是非常关键的一点，首先应多吃新鲜的蔬菜和水果，蔬菜和水果中的营养元素含量比较丰富，可以帮助提高孩子的免疫力，因此有助于扁桃体的修复，比如像梨啊苹果啊这些水果都有清热和消炎的作用，可以多吃一些，其它饮食方面建议选择一些比较稀烂好消化的，比如像煮的烂一些的面食和粥都是不错的，在清淡饮食的同时还要少吃发物，例如家禽蛋、驴肉、牛羊肉等，生活中还要注意帮助孩子去养成良好的习惯，除了健康饮食之外，还要早睡早起，适当运动。,0,pediatrics,random_negative,0.672224372003716,oncology
q0001,我今年48岁，男，一直肠胃不适经常拉肚子，身体的状况也是越来越差，请问；我有胃癌要怎么治疗的,c000010,标题：小孩儿中耳炎听不清说话怎样治疗好 患者问题：男宝，刚满7岁，这几天，孩子的耳朵有点疼，早上，有黄色的耳屎流出，而且，伴有头痛发烧，请问：小孩儿中耳炎听不清说话怎样治疗好。 医生回答：可适当的使用一些抗生素或是消炎类药物，另外还可进行局部治疗，比如给孩子使用消炎类型的滴耳剂治疗，症状如果是以耳痛为主的，可考虑给点镇痛类的药物，孩子如果还伴有发高烧的情况，是可以酌情吃点退烧药的，但是如果持续不退的话，务必要及时就医，如果患者出现了严重的症状，如耳膜穿孔，是需要及时的去医院进行手术治疗，与此同时也要注意给孩子安排合理的饮食和作息习惯，帮助疾病尽早康复。,0,pediatrics,random_negative,0.7116569442808324,oncology
