section,item,count,percentage
case_type,all_available_wrong,1,0.002
case_type,bce_correct_embedding_wrong,48,0.096
case_type,bce_improves_embedding_but_not_top1,2,0.004
case_type,bce_top1_wrong_but_top3_hit,52,0.104
case_type,bce_top1_wrong_but_top5_hit,57,0.114
case_type,bce_wrong_ml_correct,57,0.114
case_type,department_bonus_wrong_ml_correct,56,0.112
case_type,embedding_correct_bce_wrong,49,0.098
case_type,embedding_wrong_ml_correct,56,0.112
method_rank,embedding_baseline_rank_1,443,0.886
method_rank,embedding_baseline_rank_2_to_3,41,0.082
method_rank,embedding_baseline_rank_4_to_5,9,0.018
method_rank,embedding_baseline_rank_6_plus_or_missing,7,0.014
method_rank,embedding_baseline_top3_hit,484,0.968
method_rank,embedding_baseline_top5_hit,493,0.986
method_rank,embedding_department_bonus_rank_1,443,0.886
method_rank,embedding_department_bonus_rank_2_to_3,42,0.084
method_rank,embedding_department_bonus_rank_4_to_5,8,0.016
method_rank,embedding_department_bonus_rank_6_plus_or_missing,7,0.014
method_rank,embedding_department_bonus_top3_hit,485,0.97
method_rank,embedding_department_bonus_top5_hit,493,0.986
method_rank,lightweight_ml_rank_1,499,0.998
method_rank,lightweight_ml_rank_2_to_3,1,0.002
method_rank,lightweight_ml_rank_4_to_5,0,0.0
method_rank,lightweight_ml_rank_6_plus_or_missing,0,0.0
method_rank,lightweight_ml_top3_hit,500,1.0
method_rank,lightweight_ml_top5_hit,500,1.0
method_rank,bce_rank_1,442,0.884
method_rank,bce_rank_2_to_3,52,0.104
method_rank,bce_rank_4_to_5,5,0.01
method_rank,bce_rank_6_plus_or_missing,1,0.002
method_rank,bce_top3_hit,494,0.988
method_rank,bce_top5_hit,499,0.998
