qid,context_id,score,rank,method,latency_ms
qh0001,ch000001,0.9290834652210926,1,embedding_baseline,0.0
qh0001,ch000002,0.9130831671568276,2,embedding_baseline,0.0
qh0001,ch000003,0.9086124191806636,3,embedding_baseline,0.0
qh0001,ch000004,0.9083764398119224,4,embedding_baseline,0.0
qh0001,ch000005,0.9071632455489406,5,embedding_baseline,0.0
qh0001,ch000006,0.9059696747147922,6,embedding_baseline,0.0
qh0001,ch000007,0.9051224664974776,7,embedding_baseline,0.0
qh0001,ch000008,0.9032295039296728,8,embedding_baseline,0.0
qh0001,ch000010,0.8801577572776774,9,embedding_baseline,0.0
qh0001,ch000009,0.7043428593230323,10,embedding_baseline,0.0
qh0002,ch000011,0.9070174326875616,1,embedding_baseline,0.0
qh0002,ch000012,0.8411228288526433,2,embedding_baseline,0.0
qh0002,ch000013,0.8394716956017566,3,embedding_baseline,0.0
qh0002,ch000014,0.8374686896182146,4,embedding_baseline,0.0
qh0002,ch000015,0.8308798296650233,5,embedding_baseline,0.0
qh0002,ch000016,0.8277927553791916,6,embedding_baseline,0.0
qh0002,ch000017,0.8252835361926455,7,embedding_baseline,0.0
qh0002,ch000018,0.8221354812287001,8,embedding_baseline,0.0
qh0002,ch000019,0.8002330559734758,9,embedding_baseline,0.0
qh0002,ch000020,0.7487909057871225,10,embedding_baseline,0.0
qh0003,ch000021,0.9168619986257942,1,embedding_baseline,0.0
qh0003,ch000022,0.8967803159102501,2,embedding_baseline,0.0
qh0003,ch000023,0.8788207642735177,3,embedding_baseline,0.0
qh0003,ch000024,0.8780156061945351,4,embedding_baseline,0.0
qh0003,ch000025,0.8779462842776997,5,embedding_baseline,0.0
qh0003,ch000026,0.8773813835950124,6,embedding_baseline,0.0
qh0003,ch000027,0.8773111477273206,7,embedding_baseline,0.0
qh0003,ch000028,0.8772725324547519,8,embedding_baseline,0.0
qh0003,ch000029,0.840078928478897,9,embedding_baseline,0.0
qh0003,ch000030,0.7936214343224015,10,embedding_baseline,0.0
qh0004,ch000031,0.9427496851220236,1,embedding_baseline,0.0
qh0004,ch000032,0.8307075081957498,2,embedding_baseline,0.0
qh0004,ch000033,0.8305088893180198,3,embedding_baseline,0.0
qh0004,ch000034,0.8266675164637483,4,embedding_baseline,0.0
qh0004,ch000035,0.8229694463467119,5,embedding_baseline,0.0
qh0004,ch000036,0.8169361690272132,6,embedding_baseline,0.0
qh0004,ch000037,0.8116589634059275,7,embedding_baseline,0.0
qh0004,ch000038,0.8087639518333742,8,embedding_baseline,0.0
qh0004,ch000039,0.7023128664995171,9,embedding_baseline,0.0
qh0004,ch000040,0.6827246564664952,10,embedding_baseline,0.0
qh0005,ch000041,0.8579673500479224,1,embedding_baseline,0.0
qh0005,ch000042,0.8269018420930369,2,embedding_baseline,0.0
qh0005,ch000043,0.8207773834165306,3,embedding_baseline,0.0
qh0005,ch000044,0.8130044996141851,4,embedding_baseline,0.0
qh0005,ch000045,0.8031434255010781,5,embedding_baseline,0.0
qh0005,ch000046,0.8020019431810679,6,embedding_baseline,0.0
qh0005,ch000047,0.7986582727911496,7,embedding_baseline,0.0
qh0005,ch000048,0.7929790326674847,8,embedding_baseline,0.0
qh0005,ch000049,0.6655436704092355,9,embedding_baseline,0.0
qh0005,ch000050,0.6143855270220657,10,embedding_baseline,0.0
qh0006,ch000051,0.9130481890394762,1,embedding_baseline,0.0
qh0006,ch000052,0.9069905987841552,2,embedding_baseline,0.0
qh0006,ch000053,0.8752706186456489,3,embedding_baseline,0.0
qh0006,ch000054,0.8751647701233163,4,embedding_baseline,0.0
qh0006,ch000055,0.8748048447133924,5,embedding_baseline,0.0
qh0006,ch000056,0.8604523973800812,6,embedding_baseline,0.0
qh0006,ch000057,0.8592167619062624,7,embedding_baseline,0.0
qh0006,ch000058,0.8591081659237859,8,embedding_baseline,0.0
qh0006,ch000059,0.6368403636055534,9,embedding_baseline,0.0
qh0006,ch000060,0.6144390697309942,10,embedding_baseline,0.0
qh0007,ch000061,0.8599964257772302,1,embedding_baseline,0.0
qh0007,ch000062,0.828160096655377,2,embedding_baseline,0.0
qh0007,ch000063,0.8235658928938454,3,embedding_baseline,0.0
qh0007,ch000064,0.821887594451014,4,embedding_baseline,0.0
qh0007,ch000065,0.8172160037869103,5,embedding_baseline,0.0
qh0007,ch000066,0.8166882426509441,6,embedding_baseline,0.0
qh0007,ch000067,0.8159739319796669,7,embedding_baseline,0.0
qh0007,ch000068,0.8089101858007237,8,embedding_baseline,0.0
qh0007,ch000070,0.6797028519162117,9,embedding_baseline,0.0
qh0007,ch000069,0.6547521123353797,10,embedding_baseline,0.0
qh0008,ch000071,0.851671222710221,1,embedding_baseline,0.0
qh0008,ch000072,0.8050354420889135,2,embedding_baseline,0.0
qh0008,ch000073,0.802741220561296,3,embedding_baseline,0.0
qh0008,ch000074,0.8016087565318444,4,embedding_baseline,0.0
qh0008,ch000075,0.7975513742866998,5,embedding_baseline,0.0
qh0008,ch000076,0.7971968689534004,6,embedding_baseline,0.0
qh0008,ch000077,0.796330713137344,7,embedding_baseline,0.0
qh0008,ch000078,0.7961190833879912,8,embedding_baseline,0.0
qh0008,ch000079,0.7272168812512642,9,embedding_baseline,0.0
qh0008,ch000080,0.7194385233405791,10,embedding_baseline,0.0
qh0009,ch000081,0.9020022348668868,1,embedding_baseline,0.0
qh0009,ch000082,0.890631454030976,2,embedding_baseline,0.0
qh0009,ch000083,0.8768636889310822,3,embedding_baseline,0.0
qh0009,ch000084,0.8669702873433164,4,embedding_baseline,0.0
qh0009,ch000085,0.8554575890961187,5,embedding_baseline,0.0
qh0009,ch000086,0.8534703097325886,6,embedding_baseline,0.0
qh0009,ch000087,0.8504340137879507,7,embedding_baseline,0.0
qh0009,ch000088,0.8456680522259209,8,embedding_baseline,0.0
qh0009,ch000090,0.7203226738910202,9,embedding_baseline,0.0
qh0009,ch000089,0.6860555759865278,10,embedding_baseline,0.0
qh0010,ch000091,0.912624651488284,1,embedding_baseline,0.0
qh0010,ch000092,0.9063157538101816,2,embedding_baseline,0.0
qh0010,ch000093,0.8902049166556179,3,embedding_baseline,0.0
qh0010,ch000094,0.8829195472683751,4,embedding_baseline,0.0
qh0010,ch000095,0.8734721358964183,5,embedding_baseline,0.0
qh0010,ch000096,0.8673812785124515,6,embedding_baseline,0.0
qh0010,ch000097,0.8660467681283007,7,embedding_baseline,0.0
qh0010,ch000098,0.864712283370502,8,embedding_baseline,0.0
qh0010,ch000099,0.8093141301940492,9,embedding_baseline,0.0
qh0010,ch000100,0.7557709347934505,10,embedding_baseline,0.0
qh0011,ch000101,0.9091032343751094,1,embedding_baseline,0.0
qh0011,ch000102,0.8990052181359545,2,embedding_baseline,0.0
qh0011,ch000103,0.891522582581301,3,embedding_baseline,0.0
qh0011,ch000104,0.8846617620789219,4,embedding_baseline,0.0
qh0011,ch000105,0.8782519381593585,5,embedding_baseline,0.0
qh0011,ch000106,0.8690450014653203,6,embedding_baseline,0.0
qh0011,ch000107,0.866220476730549,7,embedding_baseline,0.0
qh0011,ch000108,0.8610634851530619,8,embedding_baseline,0.0
qh0011,ch000109,0.728969497850035,9,embedding_baseline,0.0
qh0011,ch000110,0.7039862255038383,10,embedding_baseline,0.0
qh0012,ch000111,0.8876473115684916,1,embedding_baseline,0.0
qh0012,ch000112,0.8187096650254313,2,embedding_baseline,0.0
qh0012,ch000113,0.8002089844396332,3,embedding_baseline,0.0
qh0012,ch000114,0.789116154587113,4,embedding_baseline,0.0
qh0012,ch000115,0.7865930165113085,5,embedding_baseline,0.0
qh0012,ch000116,0.7846391892804321,6,embedding_baseline,0.0
qh0012,ch000117,0.7774826525220361,7,embedding_baseline,0.0
qh0012,ch000118,0.7714201060488977,8,embedding_baseline,0.0
qh0012,ch000119,0.6574103766063428,9,embedding_baseline,0.0
qh0012,ch000120,0.6460575235842775,10,embedding_baseline,0.0
qh0013,ch000121,0.9099205479069552,1,embedding_baseline,0.0
qh0013,ch000122,0.9037813341724512,2,embedding_baseline,0.0
qh0013,ch000123,0.9027375189262656,3,embedding_baseline,0.0
qh0013,ch000124,0.897331765153129,4,embedding_baseline,0.0
qh0013,ch000125,0.8912582223324921,5,embedding_baseline,0.0
qh0013,ch000126,0.8906703004367451,6,embedding_baseline,0.0
qh0013,ch000127,0.8876900361784718,7,embedding_baseline,0.0
qh0013,ch000128,0.8832447419278933,8,embedding_baseline,0.0
qh0013,ch000129,0.774496553470594,9,embedding_baseline,0.0
qh0013,ch000130,0.686394757220324,10,embedding_baseline,0.0
qh0014,ch000131,0.9234946751488344,1,embedding_baseline,0.0
qh0014,ch000132,0.8486305716173279,2,embedding_baseline,0.0
qh0014,ch000133,0.8486192778713958,3,embedding_baseline,0.0
qh0014,ch000134,0.845617492897277,4,embedding_baseline,0.0
qh0014,ch000135,0.8441939932743022,5,embedding_baseline,0.0
qh0014,ch000136,0.8432398163575138,6,embedding_baseline,0.0
qh0014,ch000137,0.8429155010462756,7,embedding_baseline,0.0
qh0014,ch000138,0.8411734850756049,8,embedding_baseline,0.0
qh0014,ch000140,0.7573241152624506,9,embedding_baseline,0.0
qh0014,ch000139,0.7536695645405587,10,embedding_baseline,0.0
qh0015,ch000141,0.9067102856193584,1,embedding_baseline,0.0
qh0015,ch000142,0.8868832520005623,2,embedding_baseline,0.0
qh0015,ch000143,0.8739683710756102,3,embedding_baseline,0.0
qh0015,ch000144,0.8595165333624785,4,embedding_baseline,0.0
qh0015,ch000145,0.850733565608633,5,embedding_baseline,0.0
qh0015,ch000146,0.8453321117927404,6,embedding_baseline,0.0
qh0015,ch000147,0.8433930616275711,7,embedding_baseline,0.0
qh0015,ch000148,0.8394316825807734,8,embedding_baseline,0.0
qh0015,ch000150,0.6775375834732931,9,embedding_baseline,0.0
qh0015,ch000149,0.6502637052880863,10,embedding_baseline,0.0
qh0016,ch000151,0.9058933227888408,1,embedding_baseline,0.0
qh0016,ch000152,0.8972031966569148,2,embedding_baseline,0.0
qh0016,ch000153,0.8905791062376285,3,embedding_baseline,0.0
qh0016,ch000154,0.8896709997314745,4,embedding_baseline,0.0
qh0016,ch000155,0.8828725017697233,5,embedding_baseline,0.0
qh0016,ch000156,0.8737407034858676,6,embedding_baseline,0.0
qh0016,ch000157,0.871489248668728,7,embedding_baseline,0.0
qh0016,ch000158,0.8706307820348169,8,embedding_baseline,0.0
qh0016,ch000160,0.8237168076787351,9,embedding_baseline,0.0
qh0016,ch000159,0.716504652523539,10,embedding_baseline,0.0
qh0017,ch000161,0.8868672425879065,1,embedding_baseline,0.0
qh0017,ch000162,0.8521525615782789,2,embedding_baseline,0.0
qh0017,ch000163,0.8483460726420678,3,embedding_baseline,0.0
qh0017,ch000164,0.8332319966634428,4,embedding_baseline,0.0
qh0017,ch000165,0.8331798381337265,5,embedding_baseline,0.0
qh0017,ch000166,0.8317668697431289,6,embedding_baseline,0.0
qh0017,ch000167,0.8310512671430067,7,embedding_baseline,0.0
qh0017,ch000168,0.8265369778970296,8,embedding_baseline,0.0
qh0017,ch000170,0.7857509677729732,9,embedding_baseline,0.0
qh0017,ch000169,0.7640151818312964,10,embedding_baseline,0.0
qh0018,ch000171,0.8625531943542583,1,embedding_baseline,0.0
qh0018,ch000172,0.8388667109879091,2,embedding_baseline,0.0
qh0018,ch000173,0.8119594278563148,3,embedding_baseline,0.0
qh0018,ch000174,0.7969597594101413,4,embedding_baseline,0.0
qh0018,ch000175,0.7901323663993555,5,embedding_baseline,0.0
qh0018,ch000176,0.7863941222778866,6,embedding_baseline,0.0
qh0018,ch000177,0.7846974755292377,7,embedding_baseline,0.0
qh0018,ch000178,0.7821498910442961,8,embedding_baseline,0.0
qh0018,ch000179,0.7627734773719645,9,embedding_baseline,0.0
qh0018,ch000180,0.6343702995492012,10,embedding_baseline,0.0
qh0019,ch000181,0.9160060323430146,1,embedding_baseline,0.0
qh0019,ch000182,0.9092023999255464,2,embedding_baseline,0.0
qh0019,ch000183,0.891169695827771,3,embedding_baseline,0.0
qh0019,ch000184,0.8762185880058914,4,embedding_baseline,0.0
qh0019,ch000185,0.8687225380157748,5,embedding_baseline,0.0
qh0019,ch000186,0.8664918949459971,6,embedding_baseline,0.0
qh0019,ch000187,0.8657678287602393,7,embedding_baseline,0.0
qh0019,ch000188,0.8577127771971678,8,embedding_baseline,0.0
qh0019,ch000190,0.6866071248094696,9,embedding_baseline,0.0
qh0019,ch000189,0.6388569659724296,10,embedding_baseline,0.0
qh0020,ch000191,0.9027576125390844,1,embedding_baseline,0.0
qh0020,ch000192,0.883494600498186,2,embedding_baseline,0.0
qh0020,ch000193,0.8785984498373375,3,embedding_baseline,0.0
qh0020,ch000194,0.8548214721002828,4,embedding_baseline,0.0
qh0020,ch000195,0.8546055332264973,5,embedding_baseline,0.0
qh0020,ch000196,0.8509066658491738,6,embedding_baseline,0.0
qh0020,ch000197,0.8448227198206489,7,embedding_baseline,0.0
qh0020,ch000198,0.8442996284259362,8,embedding_baseline,0.0
qh0020,ch000199,0.8434258890154803,9,embedding_baseline,0.0
qh0020,ch000200,0.679514463047983,10,embedding_baseline,0.0
qh0021,ch000201,0.9036782393893298,1,embedding_baseline,0.0
qh0021,ch000202,0.8325678507980915,2,embedding_baseline,0.0
qh0021,ch000203,0.8188756640464459,3,embedding_baseline,0.0
qh0021,ch000204,0.7991985043489038,4,embedding_baseline,0.0
qh0021,ch000205,0.7873438118637641,5,embedding_baseline,0.0
qh0021,ch000206,0.7857895252494272,6,embedding_baseline,0.0
qh0021,ch000207,0.7848581309092237,7,embedding_baseline,0.0
qh0021,ch000208,0.7826292998706632,8,embedding_baseline,0.0
qh0021,ch000210,0.7111153400445789,9,embedding_baseline,0.0
qh0021,ch000209,0.6895046539322314,10,embedding_baseline,0.0
qh0022,ch000211,0.9089184920048956,1,embedding_baseline,0.0
qh0022,ch000212,0.8696300096151235,2,embedding_baseline,0.0
qh0022,ch000213,0.8677276340314387,3,embedding_baseline,0.0
qh0022,ch000214,0.8667980999329025,4,embedding_baseline,0.0
qh0022,ch000215,0.863998637772556,5,embedding_baseline,0.0
qh0022,ch000216,0.8597892922705053,6,embedding_baseline,0.0
qh0022,ch000217,0.8557134251003596,7,embedding_baseline,0.0
qh0022,ch000218,0.8497273524649045,8,embedding_baseline,0.0
qh0022,ch000220,0.7414135119430509,9,embedding_baseline,0.0
qh0022,ch000219,0.6761567448391882,10,embedding_baseline,0.0
qh0023,ch000221,0.9376147873666772,1,embedding_baseline,0.0
qh0023,ch000222,0.9146015370816816,2,embedding_baseline,0.0
qh0023,ch000223,0.9141301793041382,3,embedding_baseline,0.0
qh0023,ch000224,0.9102804865821712,4,embedding_baseline,0.0
qh0023,ch000225,0.9061456343179894,5,embedding_baseline,0.0
qh0023,ch000226,0.9033471995501402,6,embedding_baseline,0.0
qh0023,ch000227,0.9032771815670028,7,embedding_baseline,0.0
qh0023,ch000228,0.8998846405609553,8,embedding_baseline,0.0
qh0023,ch000230,0.7849488330890679,9,embedding_baseline,0.0
qh0023,ch000229,0.7386143921772765,10,embedding_baseline,0.0
qh0024,ch000231,0.9316965047308796,1,embedding_baseline,0.0
qh0024,ch000232,0.9183222501353284,2,embedding_baseline,0.0
qh0024,ch000233,0.9125202451971064,3,embedding_baseline,0.0
qh0024,ch000234,0.9093105450216246,4,embedding_baseline,0.0
qh0024,ch000235,0.9079618539718314,5,embedding_baseline,0.0
qh0024,ch000236,0.9068748256401596,6,embedding_baseline,0.0
qh0024,ch000237,0.9037427444103806,7,embedding_baseline,0.0
qh0024,ch000238,0.9028811106304552,8,embedding_baseline,0.0
qh0024,ch000239,0.8757874066056632,9,embedding_baseline,0.0
qh0024,ch000240,0.7901458775716591,10,embedding_baseline,0.0
qh0025,ch000241,0.9292702614861356,1,embedding_baseline,0.0
qh0025,ch000242,0.8578315929559049,2,embedding_baseline,0.0
qh0025,ch000243,0.8419407598851179,3,embedding_baseline,0.0
qh0025,ch000244,0.8383444127466049,4,embedding_baseline,0.0
qh0025,ch000245,0.8344353164564705,5,embedding_baseline,0.0
